"","Marca temporal","Fecha","Titular","Enlace","Horario","Duración","Analista","Tipo_noticiero","Noticiero","Nivel_gobierno","Organización","Tendencia","id"
"1",2022-06-03 08:07:29,2022-06-03,"Con el aumento de temperatura, aumenta la incidencia delictiva; primera PÓLVORA con Miguel Ángel Zacarías.","https://drive.google.com/file/d/1pheJ2Ofwv-1q-mATvnQgLvsi3hWG68d3/view?usp=sharing","Matutino",00:15:07,"Monserrat","Radio","LG La Grande","gobierno estatal","ssp","inseguridad",2022-06-03 08:07:29
"2",2022-06-03 08:07:29,2022-06-03,"Con el aumento de temperatura, aumenta la incidencia delictiva; primera PÓLVORA con Miguel Ángel Zacarías.","https://drive.google.com/file/d/1pheJ2Ofwv-1q-mATvnQgLvsi3hWG68d3/view?usp=sharing","Matutino",00:15:07,"Monserrat","Radio","LG La Grande","gobierno estatal"," fge","inseguridad",2022-06-03 08:07:29
"3",2022-06-03 08:08:31,2022-06-03,"El incremento en las denuncias por extorsión se debe a que hay mayor confianza en autoridades, y no a un aumento del delito; Sophia Huett.","https://drive.google.com/file/d/18_e40g00pULP0rzykyjNQomJ7YaKB0OL/view?usp=sharing","Matutino",00:02:49,"Monserrat","Radio","LG La Grande","gobierno estatal","ssp","inseguridad",2022-06-03 08:08:31
"4",2022-06-03 08:08:31,2022-06-03,"El incremento en las denuncias por extorsión se debe a que hay mayor confianza en autoridades, y no a un aumento del delito; Sophia Huett.","https://drive.google.com/file/d/18_e40g00pULP0rzykyjNQomJ7YaKB0OL/view?usp=sharing","Matutino",00:02:49,"Monserrat","Radio","LG La Grande","gobierno estatal"," secretariado ejecutivo de seguridad publica","inseguridad",2022-06-03 08:08:31
"5",2022-06-03 08:09:46,2022-06-03,"Después de varios días sin casos, se presentan 3 casos graves por COVID-19.","https://drive.google.com/file/d/1k3jzp1yvYCLnDv3OxHPHyXB2SGBbjHV9/view?usp=sharing","Matutino",00:03:39,"Monserrat","Radio","LG La Grande","gobierno estatal","ssg","cifras covid-19",2022-06-03 08:09:46
"6",2022-06-03 08:10:46,2022-06-03,"Al aceptar que mayo ha sido el mes más violento en la ciudad, Ale Gutiérrez dijo que no dará marcha atrás en la estrategia de seguridad.","https://drive.google.com/file/d/12SKEleyLpZOX7A9JB-ro46K56Wtp-HEi/view?usp=sharing","Matutino",00:02:44,"Monserrat","Radio","LG La Grande","gobierno estatal","ssp","crisis de seguridad en leon",2022-06-03 08:10:46
"7",2022-06-03 08:10:46,2022-06-03,"Al aceptar que mayo ha sido el mes más violento en la ciudad, Ale Gutiérrez dijo que no dará marcha atrás en la estrategia de seguridad.","https://drive.google.com/file/d/12SKEleyLpZOX7A9JB-ro46K56Wtp-HEi/view?usp=sharing","Matutino",00:02:44,"Monserrat","Radio","LG La Grande","gobierno estatal"," leon","crisis de seguridad en leon",2022-06-03 08:10:46
"8",2022-06-03 08:10:46,2022-06-03,"Al aceptar que mayo ha sido el mes más violento en la ciudad, Ale Gutiérrez dijo que no dará marcha atrás en la estrategia de seguridad.","https://drive.google.com/file/d/12SKEleyLpZOX7A9JB-ro46K56Wtp-HEi/view?usp=sharing","Matutino",00:02:44,"Monserrat","Radio","LG La Grande"," municipios","ssp","crisis de seguridad en leon",2022-06-03 08:10:46
"9",2022-06-03 08:10:46,2022-06-03,"Al aceptar que mayo ha sido el mes más violento en la ciudad, Ale Gutiérrez dijo que no dará marcha atrás en la estrategia de seguridad.","https://drive.google.com/file/d/12SKEleyLpZOX7A9JB-ro46K56Wtp-HEi/view?usp=sharing","Matutino",00:02:44,"Monserrat","Radio","LG La Grande"," municipios"," leon","crisis de seguridad en leon",2022-06-03 08:10:46
"10",2022-06-03 08:11:51,2022-06-03,"Alcaldesa de León invita a las mujeres a poner un alto a cualquier tipo de violencia que vivan.","https://drive.google.com/file/d/1Bn9Oqcqvkd1A8bUmKj6eVKOmMcOi1FSa/view?usp=sharing","Matutino",00:01:07,"Monserrat","Radio","LG La Grande","gobierno estatal","ssp","violencia de genero",2022-06-03 08:11:51
"11",2022-06-03 08:11:51,2022-06-03,"Alcaldesa de León invita a las mujeres a poner un alto a cualquier tipo de violencia que vivan.","https://drive.google.com/file/d/1Bn9Oqcqvkd1A8bUmKj6eVKOmMcOi1FSa/view?usp=sharing","Matutino",00:01:07,"Monserrat","Radio","LG La Grande","gobierno estatal"," imug","violencia de genero",2022-06-03 08:11:51
"12",2022-06-03 08:11:51,2022-06-03,"Alcaldesa de León invita a las mujeres a poner un alto a cualquier tipo de violencia que vivan.","https://drive.google.com/file/d/1Bn9Oqcqvkd1A8bUmKj6eVKOmMcOi1FSa/view?usp=sharing","Matutino",00:01:07,"Monserrat","Radio","LG La Grande","gobierno estatal"," leon","violencia de genero",2022-06-03 08:11:51
"13",2022-06-03 08:11:51,2022-06-03,"Alcaldesa de León invita a las mujeres a poner un alto a cualquier tipo de violencia que vivan.","https://drive.google.com/file/d/1Bn9Oqcqvkd1A8bUmKj6eVKOmMcOi1FSa/view?usp=sharing","Matutino",00:01:07,"Monserrat","Radio","LG La Grande"," municipios","ssp","violencia de genero",2022-06-03 08:11:51
"14",2022-06-03 08:11:51,2022-06-03,"Alcaldesa de León invita a las mujeres a poner un alto a cualquier tipo de violencia que vivan.","https://drive.google.com/file/d/1Bn9Oqcqvkd1A8bUmKj6eVKOmMcOi1FSa/view?usp=sharing","Matutino",00:01:07,"Monserrat","Radio","LG La Grande"," municipios"," imug","violencia de genero",2022-06-03 08:11:51
"15",2022-06-03 08:11:51,2022-06-03,"Alcaldesa de León invita a las mujeres a poner un alto a cualquier tipo de violencia que vivan.","https://drive.google.com/file/d/1Bn9Oqcqvkd1A8bUmKj6eVKOmMcOi1FSa/view?usp=sharing","Matutino",00:01:07,"Monserrat","Radio","LG La Grande"," municipios"," leon","violencia de genero",2022-06-03 08:11:51
"16",2022-06-03 08:12:55,2022-06-03,"Mayo fue un mes complicado en temas de homicidio dolosos, teniendo raíz en el crimen organizado; Sophia Huett.","https://drive.google.com/file/d/1PFdFxhGKnCEiL8PN-riFvs2zwuhAGOAJ/view?usp=sharing","Matutino",00:01:50,"Monserrat","Radio","LG La Grande","gobierno estatal","ssp","inseguridad",2022-06-03 08:12:55
"17",2022-06-03 08:12:55,2022-06-03,"Mayo fue un mes complicado en temas de homicidio dolosos, teniendo raíz en el crimen organizado; Sophia Huett.","https://drive.google.com/file/d/1PFdFxhGKnCEiL8PN-riFvs2zwuhAGOAJ/view?usp=sharing","Matutino",00:01:50,"Monserrat","Radio","LG La Grande","gobierno estatal"," fge","inseguridad",2022-06-03 08:12:55
"18",2022-06-03 08:12:55,2022-06-03,"Mayo fue un mes complicado en temas de homicidio dolosos, teniendo raíz en el crimen organizado; Sophia Huett.","https://drive.google.com/file/d/1PFdFxhGKnCEiL8PN-riFvs2zwuhAGOAJ/view?usp=sharing","Matutino",00:01:50,"Monserrat","Radio","LG La Grande","gobierno estatal"," secretariado ejecutivo de seguridad publica","inseguridad",2022-06-03 08:12:55
"19",2022-06-03 08:42:28,2022-06-03,"El gobernador entregó herramientas agropecuarias en el municipio de Pénjamo.","https://drive.google.com/file/d/1s6a_xmfRf-B7B3MS-rWtJxiwTwZqQlkB/view?usp=sharing","Matutino",00:02:07,"Monserrat","Radio","Nn Radiorama","gobierno estatal","dsrv",NA,2022-06-03 08:42:28
"20",2022-06-03 08:42:28,2022-06-03,"El gobernador entregó herramientas agropecuarias en el municipio de Pénjamo.","https://drive.google.com/file/d/1s6a_xmfRf-B7B3MS-rWtJxiwTwZqQlkB/view?usp=sharing","Matutino",00:02:07,"Monserrat","Radio","Nn Radiorama","gobierno estatal"," sadyr",NA,2022-06-03 08:42:28
"21",2022-06-03 08:42:28,2022-06-03,"El gobernador entregó herramientas agropecuarias en el municipio de Pénjamo.","https://drive.google.com/file/d/1s6a_xmfRf-B7B3MS-rWtJxiwTwZqQlkB/view?usp=sharing","Matutino",00:02:07,"Monserrat","Radio","Nn Radiorama","gobierno estatal"," penjamo",NA,2022-06-03 08:42:28
"22",2022-06-03 08:42:28,2022-06-03,"El gobernador entregó herramientas agropecuarias en el municipio de Pénjamo.","https://drive.google.com/file/d/1s6a_xmfRf-B7B3MS-rWtJxiwTwZqQlkB/view?usp=sharing","Matutino",00:02:07,"Monserrat","Radio","Nn Radiorama"," municipios","dsrv",NA,2022-06-03 08:42:28
"23",2022-06-03 08:42:28,2022-06-03,"El gobernador entregó herramientas agropecuarias en el municipio de Pénjamo.","https://drive.google.com/file/d/1s6a_xmfRf-B7B3MS-rWtJxiwTwZqQlkB/view?usp=sharing","Matutino",00:02:07,"Monserrat","Radio","Nn Radiorama"," municipios"," sadyr",NA,2022-06-03 08:42:28
"24",2022-06-03 08:42:28,2022-06-03,"El gobernador entregó herramientas agropecuarias en el municipio de Pénjamo.","https://drive.google.com/file/d/1s6a_xmfRf-B7B3MS-rWtJxiwTwZqQlkB/view?usp=sharing","Matutino",00:02:07,"Monserrat","Radio","Nn Radiorama"," municipios"," penjamo",NA,2022-06-03 08:42:28
"25",2022-06-03 08:43:31,2022-06-03,"La secretaria de gobierno del Estado, desconoce por qué no se le ha notificado sobre el equipo de trabajo de alerta de género.","https://drive.google.com/file/d/1TOK66tASeomBlxk4vX6Ed6rxfaWrGyf_/view?usp=sharing","Matutino",00:02:16,"Monserrat","Radio","Nn Radiorama","gobierno estatal","secretaria de gobierno","derechos lgbt+",2022-06-03 08:43:31
"26",2022-06-03 08:44:18,2022-06-03,"Buscan certificar 30 anexos en Irapuato.","https://drive.google.com/file/d/1Towlyofgxi427WRAHX--UU9p0nEQzsnD/view?usp=sharing","Matutino",00:02:20,"Monserrat","Radio","Nn Radiorama","gobierno estatal","ssp",NA,2022-06-03 08:44:18
"27",2022-06-03 08:44:18,2022-06-03,"Buscan certificar 30 anexos en Irapuato.","https://drive.google.com/file/d/1Towlyofgxi427WRAHX--UU9p0nEQzsnD/view?usp=sharing","Matutino",00:02:20,"Monserrat","Radio","Nn Radiorama","gobierno estatal"," ssg",NA,2022-06-03 08:44:18
